route_id,agency_id,route_short_name,route_long_name,route_url,route_desc,route_type,route_color,route_text_color,route_sort_order
1,NFTA,1,1 - WILLIAM,http://www.nfta.com/1,1 - WILLIAM (MULT),3,,,
2,NFTA,2,2 - CLINTON,http://www.nfta.com/2,2 - CLINTON (MULT),3,,,
3,NFTA,3,3 - GRANT,http://www.nfta.com/3,3 - GRANT (front),3,,,
4,NFTA,4,4 - BROADWAY,http://www.nfta.com/4,4 - BROADWAY (MULT),3,,,
5,NFTA,5,5 - NIAGARA-KENMORE,http://www.nfta.com/5,5 - NIAGARA-KENMORE (front),3,,,
6,NFTA,6,6 - SYCAMORE,http://www.nfta.com/6,6 - SYCAMORE (MULT),3,,,
8,NFTA,8,8 - MAIN,http://www.nfta.com/8,8 - MAIN (MULT),3,,,
11,NFTA,11,11 - COLVIN,http://www.nfta.com/11,11 - COLVIN (front),3,,,
12,NFTA,12,12 - UTICA,http://www.nfta.com/12,12 - UTICA (MULT),3,,,
13,NFTA,13,13 - KENSINGTON,http://www.nfta.com/13,13 - KENSINGTON (MULT),3,,,
14,NFTA,14,14 - ABBOTT,http://www.nfta.com/14,14 - ABBOTT (MULT),3,,,
15,NFTA,15,15 - SENECA,http://www.nfta.com/15,15 - SENECA (MULT),3,,,
16,NFTA,16,16 - SOUTH PARK,http://www.nfta.com/16,16 - SOUTH PARK (MULT),3,,,
18,NFTA,18,18 - JEFFERSON,http://www.nfta.com/18,18 - JEFFERSON (MULT),3,,,
19,NFTA,19,19 - BAILEY,http://www.nfta.com/19,19 - BAILEY (MULT),3,,,
20,NFTA,20,20 - ELMWOOD,http://www.nfta.com/20,20 - ELMWOOD (front),3,,,
22,NFTA,22,22 - PORTER-BEST,http://www.nfta.com/22,22 - PORTER-BEST (MULT),3,,,
23,NFTA,23,23 - FILLMORE-HERTEL,http://www.nfta.com/23,23 - FILLMORE-HERTEL (MULT),3,,,
24,NFTA,24,24 - GENESEE,http://www.nfta.com/24,24 - GENESEE (MULT),3,,,
25,NFTA,25,25 - DELAWARE,http://www.nfta.com/25,25 - DELAWARE (front),3,,,
26,NFTA,26,26 - DELAVAN,http://www.nfta.com/26,26 - DELAVAN (MULT),3,,,
32,NFTA,32,32 - AMHERST,http://www.nfta.com/32,32 - AMHERST (MULT),3,,,
34,NFTA,34,34 - NIAGARA FALLS BLVD.,http://www.nfta.com/34,34 - NIAGARA FALLS BLVD. (front),3,,,
35,NFTA,35,35 - SHERIDAN,http://www.nfta.com/35,35 - SHERIDAN (front),3,,,
40,NFTA,40,40 - BUFFALO-NIAGARA FALLS,http://www.nfta.com/40,40 - BUFFALO-NIAGARA FALLS (front),3,,,
42,NFTA,42,42 - LACKAWANNA,http://www.nfta.com/42,42 - LACKAWANNA (MULT),3,,,
