stop_id,stop_code,stop_name,stop_lat,stop_lon,wheelchair_boarding,platform_code
100,100,Portage Road & Main Street,43.101472,-79.051669,0,
120,120,3rd Street & Ferry Avenue,43.090517,-79.059236,0,
130,130,3rd Street & Ferry Avenue,43.090828,-79.059515,0,
140,140,3rd Street & Main Street,43.091658,-79.059405,0,
150,150,3rd Street & Niagara Street,43.088516,-79.059399,0,
151,151,3rd Street & Niagara Street,43.088726,-79.059046,0,
160,160,3rd Street Old Falls Street South F,43.085908,-79.059189,0,
165,165,3rd St Old Falls St North,43.086244,-79.058923,0,
190,190,"3rd Street Rainbow Boulevard South ",43.083984,-79.059114,0,
193,193,"3rd Street Rainbow Boulevard North ",43.084215,-79.058879,0,
195,195,3rd Street Wendel Way North Nearsid,43.087065,-79.059,0,
200,200,3rd Street Wendel Way South Opposit,43.087156,-79.059294,0,
240,240,80th Street Niagara Falls Blvd Sout,43.089587,-78.972789,0,
242,242,80th Street Niagara Falls Blvd Nort,43.090078,-78.972643,0,
244,244,80th Street Rick Manning Dr North,43.091799,-78.972683,0,
245,245,80th Street Rick Manning Drive Sout,43.092558,-78.972824,0,
269,269,9th Street AppleWalk South North,43.115376,-79.050799,0,
270,270,9th Street Applewalk East,43.116643,-79.049447,0,
271,271,9th Street Applewalk North North,43.119121,-79.047642,0,
272,272,9th Street Applewalk North South,43.11884,-79.048046,0,
280,280,9th Street Applewalk South,43.115478,-79.050926,0,
290,290,9th Street DeVeaux Street East Fars,43.120776,-79.049079,0,
291,291,9th St Deveaux St West,43.120922,-79.049001,0,
300,300,9th Street Garden Avenue South,43.113721,-79.052553,0,
350,350,9th Street Profit Lane North,43.117957,-79.048465,0,
351,351,9th Street Profit Lane South Opposi,43.117447,-79.049071,0,
365,365,11th Street Linwood Avenue South Op,43.103427,-79.049045,0,
370,370,11th Street Michigan Avenue Northbo,43.10455,-79.048868,0,
375,375,11th Street Pierce Street North,43.101661,-79.049265,0,
380,380,Abbott Road 3544 Abbott Road South,42.788608,-78.791833,0,
390,390,Abbott Road 3551 Abbott Road North,42.787744,-78.79134,0,
420,420,Abbott Road Abbott Road Plaza North,42.830473,-78.805023,0,
430,430,Abbott Road Kimmel Avenue North,42.856619,-78.82624,0,
440,440,Abbott Road Alamo Place South,42.856539,-78.826524,0,
470,470,Abbott Road Bailey Avenue South Far,42.856924,-78.828693,0,
475,475,Abbott Road Bailey Avenue North Nea,42.857168,-78.829074,0,
485,485,Abbott Road Berg Road North,42.804208,-78.797104,0,
510,510,Abbott Road Brookview Terrace North,42.785113,-78.790633,0,
540,540,Abbott Road Burmon Drive North,42.802225,-78.796439,0,
550,550,Abbott Road Burmon Drive South Oppo,42.802363,-78.796783,0,
580,580,Abbott Road Cazenovia Parkway North,42.848345,-78.812298,0,
590,590,Abbott Road Columbus Avenue South,42.850217,-78.81515,0,
600,600,Abbott Road Como Road South,42.851817,-78.817314,0,
610,610,Abbott Road Densmore Avenue North,42.836388,-78.806865,0,
620,620,Abbott Road Dorrance Avenue North,42.831923,-78.805474,0,
630,630,Abbott Road Dorrance Avenue South,42.832131,-78.805776,0,
640,640,Abbott Road Downing Street North,42.83449,-78.806309,0,
650,650,Abbott Road Downing Street South,42.834689,-78.806569,0,
660,660,Abbott Road Dundee Street North,42.838092,-78.807439,0,
670,670,Abbott Road ECC South Campus Static,42.772577,-78.797171,0,
680,680,Abbott Road Eden Street South,42.836637,-78.807384,0,
690,690,Abbott Road Elmview Avenue North,42.821688,-78.802103,0,
700,700,Abbott Road Elmview Avenue South,42.822097,-78.802516,0,
710,710,Abbott Road Errington Avenue North,42.826646,-78.803783,0,
720,720,Abbott Road Firestone Street South,42.808478,-78.798605,0,
730,730,Abbott Road Fisher Road North,42.818828,-78.801555,0,
740,740,Abbott Road Fisher Road South Oppos,42.819236,-78.801893,0,
770,770,Abbott Road Grant Boulevard North F,42.808431,-78.798356,0,
800,800,Abbott Road Hillside Avenue North,42.799824,-78.795731,0,
810,810,Abbott Road Hillside Avenue South O,42.799919,-78.79602,0,
820,820,Abbott Road Hollywood Avenue South,42.839249,-78.807984,0,
840,840,Abbott Road Julian Avenue South,42.830301,-78.805177,0,
850,850,Abbott Road Kennedy Drive South,42.806387,-78.797944,0,
860,860,Abbott Road Lake Avenue North,42.797048,-78.794864,0,
870,870,Abbott Road Lake Avenue South,42.796874,-78.795066,0,
875,875,Abbott Road Lakewood Avenue South,42.853931,-78.820143,0,
880,880,Abbott Road Mumford Street South Op,42.854846,-78.821387,0,
890,890,Abbott Road Greenwood Ave. North Fa,42.824608,-78.803032,0,
900,900,Abbott Road Lorraine Avenue South,42.84848,-78.812778,0,
910,910,Abbott Road Ludel Terrace North Opp,42.815166,-78.800424,0,
920,920,Abbott Road Ludel Terrace South,42.815346,-78.800704,0,
930,930,Abbott Road Lynwood Avenue South,42.785288,-78.790844,0,
945,945,Abbott Road Majestic Terrace North,42.811836,-78.799456,0,
950,950,Abbott Road Martin Road North Oppos,42.816448,-78.800816,0,
960,960,Abbott Road Martin Road South,42.816908,-78.801195,0,
970,970,"Abbott Road McKinley Parkway North ",42.856232,-78.824155,0,
980,980,Abbott Road Meadowbrook Drive South,42.825176,-78.803603,0,
990,990,Abbott Road Melrose Street North,42.85336,-78.819106,0,
1040,1040,Abbott Road Milford Street North,42.852082,-78.817431,0,
1060,1060,Abbott Road Narragansett Road North,42.839676,-78.807914,0,
1080,1080,Abbott Road Oakhurst Avenue South,42.844746,-78.810023,0,
1090,1090,Abbott Road Olympic Avenue South,42.782147,-78.790126,0,
1100,1100,Abbott Road Palm Street South,42.826736,-78.804135,0,
1110,1110,Abbott Road Peconic Street North,42.843998,-78.809268,0,
1120,1120,Abbott Road Pellman Place North,42.805936,-78.797633,0,
1130,1130,Abbott Road Potters Road North,42.846287,-78.809987,0,
1140,1140,Abbott Road Red Jacket Parkway Sout,42.847026,-78.811036,0,
1150,1150,Abbott Road Richmond Avenue North O,42.783646,-78.790285,0,
1160,1160,Abbott Road Richmond Avenue South,42.783798,-78.790484,0,
1170,1170,Abbott Road Ridge Road North Farsid,42.828371,-78.804336,0,
1180,1180,Abbott Road Ridge Road South Farsid,42.827892,-78.80437,0,
1190,1190,Abbott Road Stevenson Street North,42.853775,-78.819572,0,
1200,1200,Abbott Road Salem Street North,42.849627,-78.814016,0,
1210,1210,Abbott Road South Fisher Road North,42.810348,-78.798973,0,
1220,1220,Abbott Road South Fisher Road South,42.810676,-78.799273,0,
1230,1230,Abbott Road Southside Parkway South,42.856028,-78.823855,0,
1240,1240,"Abbott Road Southwestern Boulevard ",42.778757,-78.789405,0,
1250,1250,"Abbott Road Southwestern Boulevard ",42.778417,-78.789574,0,
1270,1270,Abbott Road Tamarack Street North,42.850798,-78.815614,0,
1280,1280,Abbott Road Turner Avenue North,42.832746,-78.805724,0,
1310,1310,Abbott Road Webster Road North,42.781767,-78.789835,0,
1330,1330,Abbott Road Willet Road South,42.804599,-78.797488,0,
1340,1340,Abbott Road Woodside Avenue North,42.841748,-78.808503,0,
1350,1350,Abbott Road Woodside Avenue South,42.842208,-78.809184,0,
1390,1390,Alberta Drive Amsterdam Avenue Nort,42.985321,-78.817218,0,
1400,1400,Alberta Drive Amsterdam Avenue Sout,42.9858,-78.817595,0,
1420,1420,Alberta Drive Boulevard Mall South,42.988069,-78.817307,0,
1430,1430,Alberta Drive Henel Road North,42.982623,-78.817245,0,
1440,1440,Alberta Drive Henel Road South Near,42.983142,-78.817659,0,
1442,1442,Alberta Drive Maple Road North,42.990736,-78.817044,0,
1445,1445,"Alberta Drive Sheridan Drive North ",42.980836,-78.817347,0,
1450,1450,Alberta Drive Sheridan Drive South,42.980893,-78.817616,0,
1460,1460,Alberta Drive Wegmans Driveway Nort,42.987828,-78.817136,0,
1463,1463,Alberta Drive Wegmans North,42.989446,-78.816827,0,
1464,1464,Alberta Drive Wegmans South Opposit,42.989609,-78.817274,0,
1517,1517,Amherst Street 99 Amherst Street Ea,42.935267,-78.899431,0,
1520,1520,Amherst Street 200 Amherst Street W,42.936267,-78.896005,0,
1540,1540,Amherst Street 601 Amherst Street E,42.940466,-78.881813,0,
1580,1580,Amherst Street Bailey Avenue East,42.940187,-78.814305,0,
1600,1600,Amherst Street Bridgeman Street Wes,42.940678,-78.882844,0,
1610,1610,Amherst Street Reservation Street E,42.940147,-78.884451,0,
1620,1620,Amherst Street Bush Street West,42.939916,-78.885486,0,
1630,1630,Amherst Street 227 Amherst Street E,42.936198,-78.895773,0,
1640,1640,Amherst Street Clarence Avenue East,42.940067,-78.822904,0,
1650,1650,Amherst Street Colvin Avenue East,42.941143,-78.855748,0,
1670,1670,Amherst Street Comstock Avenue East,42.94013,-78.817402,0,
1690,1690,Amherst Street Crescent Avenue East,42.940288,-78.846582,0,
1695,1695,Amherst Street Crescent Avenue West,42.940414,-78.846433,0,
1700,1700,Amherst Street Delaware Avenue East,42.940499,-78.868061,0,
1705,1705,Amherst Street Delaware Avenue East,42.94048,-78.866801,0,
1710,1710,Amherst Street Delaware Avenue West,42.940607,-78.868104,0,
1720,1720,Amherst Street Delaware Avenue West,42.940595,-78.867134,0,
1730,1730,Amherst Street Duane Terrace West,42.940378,-78.843153,0,
1740,1740,Amherst Street East Street East,42.934923,-78.900517,0,
1745,1745,Amherst Street East Street West,42.935085,-78.900359,0,
1760,1760,Amherst Street Edge Park Avenue Wes,42.940539,-78.863393,0,
1770,1770,Amherst Street Elmer Avenue East,42.940107,-78.819664,0,
1780,1780,Amherst Street Elmwood Avenue East,42.940532,-78.878827,0,
1781,1781,Amherst St Elmwood Ave East Farside,42.940516,-78.877915,0,
1790,1790,Amherst Street Elmwood Avenue West,42.940636,-78.877605,0,
1800,1800,Amherst Street Fairfield Street Eas,42.940263,-78.843759,0,
1820,1820,Amherst Street Grant Street East Fa,42.938364,-78.889396,0,
1830,1830,Amherst Street Grant Street West Fa,42.93818,-78.890288,0,
1840,1840,Amherst Street Greenfield Street We,42.940424,-78.845098,0,
1860,1860,Amherst Street Hill Street West,42.940257,-78.831323,0,
1861,1861,Amherst Street Hill Street East,42.940116,-78.831619,0,
1880,1880,Amherst Street Lincoln Parkway East,42.940486,-78.872472,0,
1890,1890,Amherst Street Lincoln Parkway West,42.94061,-78.872105,0,
1900,1900,Amherst Street Main Street West,42.940345,-78.837576,0,
1910,1910,Amherst Street Amherst Street Stati,42.940235,-78.838188,0,
1920,1920,Amherst Street Manhattan Avenue Eas,42.940077,-78.82826,0,
1930,1930,Amherst Street Manhattan Avenue Wes,42.940218,-78.828385,0,
1940,1940,Amherst Street Military Road East,42.93666,-78.894331,0,
1950,1950,Amherst Street Military Road West,42.93712,-78.893263,0,
1960,1960,Amherst Street New Amsterdam Avenue,42.940465,-78.862284,0,
1970,1970,Amherst Street New Amsterdam Avenue,42.94055,-78.861788,0,
1973,1973,"Amherst Street Elmwood Avenue West ",42.940646,-78.879565,0,
1980,1980,"Amherst Street Niagara Street East ",42.934474,-78.901924,0,
1985,1985,Amherst Street Niagara Street West,42.934582,-78.902143,0,
1990,1990,Amherst Street Nichols School West,42.941,-78.856975,0,
2000,2000,Amherst Street Nottingham Terrace E,42.94043,-78.86042,0,
2010,2010,Amherst Street Nottingham Terrace W,42.940559,-78.860062,0,
2020,2020,"Amherst Street Pannell Street East ",42.940192,-78.836307,0,
2030,2030,Amherst Street Pannell Street West,42.940304,-78.836363,0,
2040,2040,Amherst Street Parker-Amherst Stati,42.940306,-78.838943,0,
2050,2050,Amherst Street Parkridge Avenue Eas,42.940086,-78.821267,0,
2070,2070,Amherst Street Parkside Avenue East,42.940336,-78.850481,0,
2080,2080,Amherst Street Parkside Avenue West,42.940471,-78.850523,0,
2090,2090,Amherst Street Peter Street East,42.938994,-78.887572,0,
2100,2100,Amherst Street Peter Street West,42.939237,-78.887374,0,
2110,2110,Amherst Street Summit Avenue West,42.940408,-78.847585,0,
2130,2130,Amherst Street Tonawanda Street Wes,42.935585,-78.899343,0,
2133,2133,Amherst Street Tops Market East,42.937624,-78.891445,0,
2136,2136,Amherst Street Tops West Opposite,42.937754,-78.891471,0,
2140,2140,Amherst Street Woodward Avenue East,42.940331,-78.84934,0,
2150,2150,Amherst Street Woodward Avenue West,42.940424,-78.849127,0,
2160,2160,Amtrak Station Dick Road Static,42.906779,-78.726459,0,
2210,2210,Arrow Drive Bell Sports Center East,42.961239,-78.721589,0,
2220,2220,Arrow Drive Tech Drive East,42.961246,-78.719163,0,
2280,2280,Auspurger Road Jacobs Hall East Opp,42.99799,-78.788082,0,
2290,2290,Auspurger Road Jacobs Hall West Far,42.998115,-78.787876,0,
2295,2295,Millersport Hwy UB Entrance West Ne,42.997307,-78.780944,0,
2300,2300,Auspurger Road Slee Hall East Oppos,42.998046,-78.782656,0,
2310,2310,Auspurger Road Slee Hall West Nears,42.998136,-78.782595,0,
2350,2350,Bailey Avenue Michael Rd North Oppo,42.955612,-78.813728,0,
2355,2355,Bailey Avenue Michael Road South,42.955645,-78.813955,0,
2360,2360,Bailey Avenue 3675 Bailey Avenue So,42.956654,-78.813956,0,
2370,2370,Bailey Avenue UB Dental School Sout,42.953534,-78.81389,0,
2380,2380,Bailey Avenue UB Dental School Nort,42.953408,-78.813682,0,
2390,2390,Bailey Avenue Buffalo China Road No,42.868931,-78.822052,0,
2395,2395,Bailey Avenue 744 Bailey Avenue Sou,42.874834,-78.818142,0,
2410,2410,Bailey Avenue 761 Bailey Avenue Nor,42.875237,-78.817494,0,
2420,2420,Bailey Avenue 90 Bailey Avenue Sout,42.859295,-78.827489,0,
2430,2430,Bailey Avenue 926 Bailey Avenue Sou,42.879561,-78.814785,0,
2440,2440,Bailey Avenue 929 Bailey Avenue Nor,42.879521,-78.814497,0,
2450,2450,Bailey Avenue 97 Bailey Avenue Nort,42.859232,-78.827489,0,
2470,2470,Bailey Avenue Abbott Road South Nea,42.857328,-78.829551,0,
2480,2480,"Bailey Avenue Amherst Street North ",42.940116,-78.813523,0,
2490,2490,Bailey Avenue Amherst Street South,42.940516,-78.813767,0,
2500,2500,Bailey Avenue Amherst Development P,42.996485,-78.816822,0,
2510,2510,Bailey Avenue Antwerp Street North,42.911156,-78.81364,0,
2520,2520,"Bailey Avenue Antwerp Street South ",42.911181,-78.813807,0,
2530,2530,Bailey Avenue Abbott Road Static,42.857288,-78.829245,0,
2540,2540,Bailey Avenue Abbott Road North,42.857272,-78.829404,0,
2570,2570,Bailey Avenue Broadway South,42.897255,-78.81412,0,
2580,2580,Bailey Avenue Broadway North Farsid,42.897791,-78.813841,0,
2590,2590,Bailey Avenue Broadway North,42.896648,-78.813894,0,
2600,2600,"Bailey Avenue Clinton Street North ",42.87246,-78.819604,0,
2610,2610,"Bailey Avenue Clinton Street South ",42.872238,-78.819995,0,
2640,2640,Bailey Avenue Dartmouth Avenue Nort,42.943288,-78.813555,0,
2650,2650,Bailey Avenue East Delavan Avenue N,42.92242,-78.81357,0,
2660,2660,Bailey Avenue East Delavan Avenue S,42.922143,-78.813806,0,
2670,2670,Bailey Avenue Dempster Street North,42.886333,-78.81415,0,
2680,2680,Bailey Avenue Dempster Street South,42.886483,-78.814313,0,
2690,2690,Bailey Avenue Dingens Street North,42.877689,-78.815866,0,
2700,2700,"Bailey Avenue Dingens Street South ",42.87811,-78.815859,0,
2710,2710,Bailey Avenue Doat Street North,42.909672,-78.813644,0,
2720,2720,Bailey Avenue Doat Street South,42.909881,-78.813824,0,
2730,2730,Bailey Avenue Doris Avenue South,42.926384,-78.813775,0,
2750,2750,Bailey Avenue Elk Street North,42.864556,-78.825338,0,
2760,2760,Bailey Avenue Elk Street South Fars,42.864418,-78.825657,0,
2770,2770,Bailey Avenue East Ferry Street Nor,42.914381,-78.813571,0,
2780,2780,Bailey Avenue East Ferry Street Sou,42.914846,-78.813855,0,
2790,2790,Bailey Avenue Genesee Street North,42.912388,-78.813596,0,
2800,2800,Bailey Avenue Genesee Street South,42.912818,-78.813827,0,
2810,2810,Bailey Avenue Gerald Place North,42.925022,-78.813578,0,
2815,2815,Bailey Ave. Grover Cleveland Hwy No,42.963672,-78.813796,0,
2816,2816,Bailey Avenue Grover Cleveland High,42.963431,-78.813977,0,
2820,2820,Bailey Avenue Hastings Avenue North,42.936454,-78.813524,0,
2830,2830,Bailey Avenue Hastings Avenue South,42.936416,-78.813764,0,
2840,2840,Bailey Avenue Hazel Place South,42.908148,-78.813823,0,
2850,2850,Bailey Avenue Hennepin Street North,42.887989,-78.81412,0,
2860,2860,Bailey Avenue Hennepin Street South,42.888326,-78.814313,0,
2870,2870,Bailey Avenue Heussy Avenue North,42.859542,-78.826275,0,
2880,2880,Bailey Avenue Heussy Avenue South O,42.859802,-78.826011,0,
2890,2890,Bailey Avenue Hewett Avenue South,42.942599,-78.813764,0,
2950,2950,Bailey Avenue Kensington Avenue Sou,42.938082,-78.813772,0,
2960,2960,Bailey Avenue Kensington Avenue Nor,42.938386,-78.813543,0,
2970,2970,Bailey Avenue Kensington Avenue Nor,42.937889,-78.813541,0,
2980,2980,Bailey Avenue Kerns Avenue North,42.916952,-78.813599,0,
2990,2990,Bailey Avenue 2371 Bailey Avenue No,42.919234,-78.813613,0,
3000,3000,Bailey Avenue Langfield Drive North,42.929643,-78.813556,0,
3010,3010,Bailey Avenue Langfield Drive South,42.930036,-78.813769,0,
3020,3020,Bailey Avenue Langmeyer Avenue Sout,42.924712,-78.813774,0,
3030,3030,Bailey Avenue Buffalo China Road So,42.869043,-78.822223,0,
3040,3040,Bailey Avenue East Lovejoy Street N,42.889657,-78.814085,0,
3050,3050,Bailey Avenue Lovejoy Street South,42.889877,-78.814241,0,
3070,3070,Bailey Avenue Main Street North,42.957917,-78.813754,0,
3072,3072,Bailey Avenue Crosby Circle North,42.96034,-78.813798,0,
3090,3090,Bailey Avenue Manhart Street South,42.92803,-78.813771,0,
3100,3100,Bailey Avenue Martha Avenue South O,42.934589,-78.813755,0,
3110,3110,Bailey Avenue Millicent Avenue Nort,42.934735,-78.813559,0,
3120,3120,Bailey Avenue Minnesota Avenue Nort,42.945757,-78.813574,0,
3130,3130,Bailey Avenue Minnesota Avenue Sout,42.946093,-78.813784,0,
3150,3150,Bailey Avenue Northland Avenue Sout,42.918996,-78.813786,0,
3160,3160,Bailey Avenue Oakmont Avenue North,42.932305,-78.813566,0,
3170,3170,"Bailey Avenue Oakmont Avenue South ",42.93219,-78.813769,0,
3180,3180,Bailey Avenue Peru Place North,42.876358,-78.816705,0,
3190,3190,Bailey Avenue Peru Place South,42.876678,-78.817154,0,
3200,3200,Bailey Avenue Proctor Avenue North,42.926688,-78.813572,0,
3210,3210,Bailey Avenue Pullman Place North O,42.899057,-78.813838,0,
3220,3220,Bailey Avenue Pullman Place South,42.89911,-78.813967,0,
3223,3223,Bailey Ave Ridge Lea Rd North,43.000034,-78.814593,0,
3225,3225,Bailey Avenue Ridge Lea Rd South Fa,42.999499,-78.814741,0,
3230,3230,Bailey Avenue Rohe Street North,42.907306,-78.813664,0,
3240,3240,Bailey Avenue Roosevelt Avenue Nort,42.933773,-78.813556,0,
3250,3250,Bailey Avenue Rounds Avenue North,42.947351,-78.81359,0,
3260,3260,Bailey Avenue Lisbon Avenue South,42.947037,-78.813787,0,
3270,3270,Bailey Avenue Scajaquada Street Sou,42.917461,-78.813787,0,
3280,3280,Bailey Avenue Scheu Place North Far,42.903084,-78.813732,0,
3290,3290,Bailey Avenue Scheu Place South,42.90297,-78.813926,0,
3300,3300,Bailey Avenue Seneca Street North,42.866357,-78.824007,0,
3310,3310,Bailey Avenue Seneca Street South,42.866963,-78.823872,0,
3330,3330,Bailey Avenue Shirley Avenue South,42.944378,-78.813791,0,
3340,3340,Bailey Avenue Stanley Street North,42.892086,-78.814044,0,
3350,3350,Bailey Avenue 1348 Bailey Avenue So,42.891013,-78.814228,0,
3355,3355,North Bailey Ave. Park Circle North,42.962914,-78.813779,0,
3360,3360,Bailey Avenue Stockbridge Avenue No,42.941867,-78.813559,0,
3370,3370,Bailey Avenue Veterans Hospital Nor,42.950851,-78.813614,0,
3380,3380,Bailey Avenue Veterans Hospital Sou,42.951677,-78.813893,0,
3390,3390,Bailey Avenue Walden Avenue North F,42.905043,-78.813717,0,
3400,3400,Bailey Avenue Walden Avenue South,42.90501,-78.813812,0,
3410,3410,Bailey Avenue Wecker Street North,42.920684,-78.813601,0,
3420,3420,Bailey Avenue Wecker Street South,42.92088,-78.813779,0,
3430,3430,Bailey Avenue Weston Avenue North,42.928169,-78.813575,0,
3440,3440,Bailey Avenue William Street South,42.884988,-78.81437,0,
3450,3450,"Bailey Avenue William Street North ",42.88549,-78.814162,0,
3460,3460,Bailey Avenue Winspear Avenue North,42.94871,-78.813598,0,
3470,3470,Bailey Avenue Winspear Avenue South,42.948626,-78.813802,0,
3820,3820,Beach Road North Main Street East,42.650033,-79.0337,0,
3825,3825,Beach Road North Main Street West F,42.650181,-79.034085,0,
3840,3840,Beach Road Route 5 East Farside,42.649964,-79.040239,0,
3850,3850,Beach Road Route 5 West,42.650171,-79.040468,0,
3860,3860,Berkshire Avenue Amherst Street Wes,42.940272,-78.8228,0,
3870,3870,Berkshire Avenue Bailey Avenue West,42.941011,-78.814012,0,
3890,3890,Berkshire Avenue Comstock Avenue We,42.940965,-78.817269,0,
3900,3900,Berkshire Avenue Parkridge Avenue W,42.940916,-78.821376,0,
3930,3930,Best Street Ellicott Street East,42.903928,-78.866307,0,
3940,3940,Best Street Ellicott Street West,42.904052,-78.865949,0,
3950,3950,Best Street Fillmore Avenue East,42.903626,-78.839573,0,
3960,3960,Best Street Fillmore Avenue West,42.903742,-78.839128,0,
3970,3970,Best Street Genesee Street East,42.903597,-78.836921,0,
4000,4000,Best Street Herman Street East,42.903633,-78.844914,0,
4020,4020,Best Street Jefferson Avenue East,42.903796,-78.8542,0,
4030,4030,Best Street Jefferson Avenue West,42.903922,-78.853786,0,
4040,4040,Broadway Brownell Street East,42.896046,-78.820396,0,
4060,4060,Best Street Main Street East Farsid,42.90458,-78.868102,0,
4070,4070,Best Street Main Street West,42.904621,-78.868027,0,
4080,4080,Best Street Masten Avenue East,42.903906,-78.859926,0,
4090,4090,Best Street Masten Avenue West,42.903966,-78.859545,0,
4100,4100,Best Street Michigan Avenue East,42.903907,-78.862845,0,
4110,4110,Best Street Michigan Avenue West,42.904026,-78.862393,0,
4120,4120,Best Street Peach Street West Oppos,42.903926,-78.856004,0,
4125,4125,Best Street Peach Street East,42.903848,-78.856383,0,
4130,4130,Best Street Pershing Avenue East,42.903806,-78.851673,0,
4140,4140,Best Street Pershing Avenue West Op,42.903876,-78.851304,0,
4150,4150,Best Street Sherman Street East,42.903748,-78.847295,0,
4160,4160,Best Street Sweeney Street East,42.903687,-78.841755,0,
4170,4170,Best Street Sweeney Street West Opp,42.903722,-78.841283,0,
4210,4210,Best Street Wohlers Avenue West,42.903836,-78.847927,0,
4220,4220,Best Street West Parade Avenue West,42.903786,-78.844266,0,
4271,4271,Big Tree Rd Orchard Park P and R We,42.763615,-78.762092,0,
4350,4350,Borden Road Broadway North,42.901346,-78.706585,0,
4360,4360,Borden Road Broadway South Farside,42.90137,-78.706699,0,
4420,4420,Borden Road Rowley Avenue West,42.898077,-78.708483,0,
4690,4690,Broad Street Delaware Street West F,43.019297,-78.875886,0,
4770,4770,Broad Street Main Street West Farsi,43.018738,-78.878776,0,
4810,4810,Broadway 1264 Broadway West,42.895233,-78.827482,0,
4845,4845,Broadway 4400 Broadway West Opposit,42.903157,-78.711498,0,
4870,4870,Broadway A Street West,42.901637,-78.706334,0,
4880,4880,Broadway Adams Street East,42.890349,-78.851144,0,
4890,4890,Broadway Adams Street West,42.890646,-78.850726,0,
4950,4950,Broadway Armbruster Street East,42.896488,-78.816955,0,
4970,4970,Broadway Aurora Street West Farside,42.899818,-78.674346,0,
4980,4980,Broadway Bailey Avenue East Farside,42.896918,-78.813514,0,
4985,4985,Broadway Bailey Ave East,42.896811,-78.814109,0,
4990,4990,Broadway Bailey Avenue West Farside,42.896956,-78.814525,0,
5040,5040,Broadway Borden Road East,42.901481,-78.706747,0,
5123,5123,Broadway Canton Street East,42.901777,-78.700325,0,
5140,5140,Broadway Cedar Street East,42.887898,-78.862304,0,
5230,5230,Broadway Coit Street East,42.891783,-78.844426,0,
5250,5250,Broadway D&L Plaza East,42.901367,-78.684461,0,
5260,5260,Broadway D&L Plaza West,42.901416,-78.683624,0,
5265,5265,Broadway Davey Street East Opposite,42.897608,-78.804016,0,
5270,5270,Broadway Dick Road West,42.905276,-78.727615,0,
5273,5273,Broadway Dick Road East Farside,42.905186,-78.727595,0,
5310,5310,Broadway Emslie Street East,42.890766,-78.849125,0,
5320,5320,Broadway Fillmore Avenue East Farsi,42.892956,-78.839083,0,
5330,5330,Broadway Fillmore Avenue West,42.893123,-78.839019,0,
5380,5380,Broadway Greene Street East,42.897317,-78.810374,0,
5420,5420,broadway st griffith st east,42.899561,-78.791989,0,
