route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
3,5,4690983,3 DOWNTOWN,0,25004,481,,
3,5,4690984,3 DOWNTOWN,0,5001,481,,
3,5,4690985,3 DOWNTOWN,0,40001,481,,
3,5,4690986,3 DOWNTOWN,0,3001,481,,
3,5,4690987,3 DOWNTOWN,0,5004,481,,
3,5,4690988,3 DOWNTOWN,0,25003,481,,
3,5,4690989,3 DOWNTOWN,0,3001,481,,
3,5,4690990,3 DOWNTOWN,0,3002,481,,
3,5,4690991,3 DOWNTOWN,0,11001,481,,
3,5,4690992,3 DOWNTOWN,0,25004,481,,
3,5,4690993,3 DOWNTOWN,0,3002,481,,
3,5,4690994,3 DOWNTOWN,0,20001,481,,
3,5,4690995,3 DOWNTOWN,0,34004,481,,
3,5,4690996,3 DOWNTOWN,0,3003,481,,
3,5,4690997,3 DOWNTOWN,0,34005,481,,
3,5,4690998,3 DOWNTOWN,0,20004,481,,
3,5,4690999,3 DOWNTOWN,0,25006,481,,
3,5,4691000,3 DOWNTOWN,0,20002,481,,
3,5,4691001,3 DOWNTOWN,0,3005,481,,
3,5,4691002,3 DOWNTOWN,0,3004,481,,
3,5,4691003,3 DOWNTOWN,0,3005,481,,
3,5,4691004,3 DOWNTOWN,0,34007,481,,
3,5,4691005,3 RIVERSIDE,1,40001,482,,
3,5,4691006,3 RIVERSIDE,1,25002,482,,
3,5,4691007,3 RIVERSIDE,1,3001,482,,
3,5,4691008,3 RIVERSIDE,1,5004,482,,
3,5,4691009,3 RIVERSIDE,1,25003,482,,
3,5,4691010,3 RIVERSIDE,1,3001,482,,
3,5,4691011,3 RIVERSIDE,1,3002,482,,
3,5,4691012,3 RIVERSIDE,1,5002,482,,
3,5,4691013,3 RIVERSIDE,1,25004,482,,
3,5,4691014,3 RIVERSIDE,1,3002,482,,
3,5,4691015,3 RIVERSIDE,1,20001,482,,
3,5,4691016,3 RIVERSIDE,1,34004,482,,
3,5,4691017,3 RIVERSIDE,1,3003,482,,
3,5,4691018,3 RIVERSIDE,1,34005,482,,
3,5,4691019,3 RIVERSIDE,1,20004,482,,
3,5,4691020,3 RIVERSIDE,1,25006,482,,
3,5,4691021,3 RIVERSIDE,1,20002,482,,
3,5,4691022,3 RIVERSIDE,1,3005,482,,
3,5,4691023,3 RIVERSIDE,1,3004,482,,
3,5,4691024,3 RIVERSIDE,1,3005,482,,
3,5,4691025,3 RIVERSIDE,1,3004,482,,
3,5,4691026,3 RIVERSIDE,1,20003,482,,
3,5,4691027,3 DOWNTOWN,0,25002,481,,
3,5,4691028,3 RIVERSIDE,1,5001,482,,
3,5,4691029,3 RIVERSIDE,1,3002,482,,
3,5,4691030,3 DOWNTOWN,0,3002,481,,
20,5,4691031,20 DOWNTOWN,0,25001,2019,,
20,5,4691032,20 DOWNTOWN,0,34002,2019,,
20,5,4691033,20 DOWNTOWN,0,5002,2019,,
20,5,4691034,20 DOWNTOWN,0,25004,2019,,
20,5,4691035,20 DOWNTOWN,0,5003,2019,,
20,5,4691036,20 DOWNTOWN,0,20001,2019,,
20,5,4691037,20 DOWNTOWN,0,40004,2019,,
20,5,4691038,20 DOWNTOWN,0,34005,2019,,
20,5,4691039,20 DOWNTOWN,0,25007,2019,,
20,5,4691040,20 DOWNTOWN,0,20003,2019,,
20,5,4691041,20 DOWNTOWN,0,20002,2019,,
20,5,4691042,20 DOWNTOWN,0,20003,2019,,
20,5,4691043,20 DOWNTOWN,0,20004,2019,,
20,5,4691044,20 DOWNTOWN,0,20003,2019,,
20,5,4691045,20 ORCHARD,1,25001,2091,,
20,5,4691046,20 ORCHARD,1,34002,2091,,
20,5,4691047,20 ORCHARD,1,5005,2091,,
20,5,4691048,20 ORCHARD,1,5002,2091,,
20,5,4691049,20 ORCHARD,1,25004,2091,,
20,5,4691050,20 ORCHARD,1,5003,2091,,
